Regional Council,Registry,Locality,Date of Constitution,Email,Address,Postal Code,Phone,Fax,Mobile Phone,Name
Porto,70/09,PORTO,13-08-2009,mop@33852@mail.telepac.pt,"Av da Boavista, 3523 - sala 304",4100-139 PORTO,255810240,255810241,,"ADRIANO RAFAEL MOREIRA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,41/08,TROFA,08-07-2008,larapaixao_advogada@hotmail.com,"R. D. Pedro V,  948 - 2º.   Sala  19",4785-308 TROFA,252415277,252415279,,"AFONSO PAIXÃO, LARA PAIXÃO E ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,62/02,PORTO,29-07-2002,jose.afonso-1264p@advogados.oa.pt,"R. Dr. Ricardo Jorge, 55 - 3º. Esqº.",4050-154 PORTO,222081611,223406096,,"AFONSOS & LEMOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,21/89,VIANA DO CASTELO,01-05-1989,ascvac@mail.telepac.pt,"Avª. dos Combatentes, 203 - 1º. Esqº.",4900-000 VIANA DO CASTELO,258823315,258824301,,"AGOSTINHO DE SOUSA, CUNHA DO VALE, J. AFONSO COSTA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,57/11,PORTO,30-11-2011,advogados.alt@gmail.com,"Rua Gonçalo Cristóvão, 347 - 5º andar, Sala 503",4000-270 PORTO,222030346,222038939,,"AGUIAR, LOUREIRO, TELINHOS & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,50/03,PORTO,30-06-2003,info@aguiarbranco.pt,"R. da Restauração, 329 - 1º.",4050-506 PORTO,220112220,220112200,,"AGUIAR-BRANCO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,9/21,VILA REAL,15-03-2021,isa-19173L@adv.oa.pt,"Praça Diogo Cão, n.º 2",5000-599 VILA REAL,919693062,,,"AGUILAR & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,26/10,VILA DO CONDE,26-02-2010,mateixeiraloureiro-3200p@adv.oa.pt,"Av. Baltazar do Couto, 94",4480-655 VILA DO CONDE,252632756,252632756,,"ALBANO LOUREIRO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,33/12,PORTO,27-07-2012,albanosantos-1444p@advogados.oa.pt,"Rua Gonçalo Cristóvão, 236 - 3º Sl. 3.4",4000-265 PORTO,222083271,222086115,,"ALBANO SANTOS & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL"
Porto,17/15,PENAFIEL,25-03-2015,angelasofia_ferreira-48248P@adv.oa.pt,"Praça Municipal, 10 - 1º",4560-481 PENAFIEL,255215518,,,"ALBANO TEIXEIRA, PAULA PINTO ALVES, MARGARIDA CORREIA & CARLOS SOUSA PINTO - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,31/13,FIÃES VFR,22-04-2013,ar.advogados@sapo.pt,"Travessa de Penoucos, 11 - Edício Aurora",4505-723 FIÃES VFR,227419677,227419674,,"ALBERTO MANUEL SILVA, RITA LEI & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,28/06,PAÇOS DE FERREIRA,17-04-2006,nuno.santosneto-8809p@adv.oa.pt,"Av. D. José de Lencastre, 48",4590-506 PAÇOS DE FERREIRA,255862036,255963778,,"ALBERTO RIBEIRO, NUNO SANTOS NETO, ANTÓNIO MOREIRA COELHO E DANIEL DIAS ABREU, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,56/10,PORTO,28-05-2010,albertoteixeira-2291p@adv.oa.pt,"Rua Estrela e Vigorosa Sport, 605, Bloco 1, 2º A",4200-286 PORTO,223324359,223324359,,ALBERTO TEIXEIRA E ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,4/95,PORTO,09-02-1995,f.maiagomes-1367p@adv.oa.pt,"Praceta Engº. Adelino Amaro da Costa, 778 - 4º.  - Dtº.",4050-321 PORTO,226098873,226003436,,"ALBUQUERQUE PINHO, FILOMENA MAIA GOMES E ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,4/06,SANTO TIRSO,20-01-2006,geral@alcindoferreiradosreis_advogados.pt,"R. Jornal de Santo Tirso,  Bloco  D  cave",4780-484 SANTO TIRSO,252851411,252833891,,ALCINDO FERREIRA DOS REIS & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,41/15,PORTO,25-08-2015,anabelasantosferreira-10332p@adv.oa.pt,"Rua Feliciano de Castilho, 66",4150-311 PORTO,,,,"ALEXANDRA SILVA NEVES, ANABELA SANTOS FERREIRA, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,38/89,MATOSINHOS,12-04-1989,Soc.@oa.pt,"Avª. da República,  885 - 2º. Salas C   8/9",4450-243 MATOSINHOS,229380478,229372655,,"ALÍPIO REGADAS, CARLOS RICO PALHÃO E RUI COSTA - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,79/09,PORTO,22-09-2009,geral@almeidaduarte.pt,"R. Sá da Bandeira, 562 - 3º esq",4000-431 PORTO,223395360,223395369,,"ALMEIDA DUARTE & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,42/14,PORTO,15-07-2014,adc@adcadvogados.pt,Rua Oliveira Martins n.º 63,4200-429 PORTO,225105613,225105614,,"ALVES DA CUNHA E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,6/89,VILA DO CONDE,26-01-1989,,"Avª. Dr. João Canavarro,  199 - 1º. Esqº.",4480-000 VILA DO CONDE,252632197,nãotem,,"ALVES DE MIRANDA, PEDRO ALVES DE MIRANDA E ANTÓNIO LORGA DE MIRANDA - SOCIEDADE DE ADVOGADOS"
Porto,2/03,MONÇÃO,14-01-2003,soc.@oa.pt,"Av. da Estação  Edifício Chave d' Ouro,  1º drtº.",4950-456 MONÇÃO,251649180,251649189,,"ALVES PEREIRA & JOÃO PAULO RODRIGUES, SOCIEDADE DE ADVOGADOS, SP, RI"
Porto,15/23,PORTO,02-06-2023,amaraleboaventura@gmail.com,"Avenida da Boavista, n.º 1588 – 6º andar",4100-115 PORTO,226003384,,,"AMARAL E BOAVENTURA ADVOGADOS ASSOCIADOS, SP, RL"
Porto,13/23,VINHAIS,11-05-2023,americopereira-3802p@adv.oa.pt,"Rua da Corujeira, n.º 1",5320-323 VINHAIS,273094870,273094870,,"AMÉRICO PEREIRA & NÁDIA PEREIRA, SOCIEDADE DE ADVOGADOS SP,RL"
Porto,1/04,PORTO,06-01-2004,sofiapfernandes-45779P@adv.oa.pt,"Rua do Vilar, 199 - 1º",4050-626 PORTO,226052560,226052568,,"AMÍLCAR P. FERNANDES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,24/10,PORTO,26-02-2010,tiago.amorim-6870p@adv.oa.pt,"R. Pedro Homem de Mello, 55 - 5º.  5.05",4150-599 PORTO,226177850,226177658,,AMORIM & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,23/10,PORTO,26-02-2010,geral@apno.pt,"Edifício Aviz, 4   R. Pedro Homem de Melo, 55 -  - 9º.",4150-599 PORTO,226164291,22164295,,"AMORIM PEREIRA, NUNO OLIVEIRA E ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL"
Porto,21/11,LORDELO,25-03-2011,ansc.advogadas@gmail.com,"Rua da Estrada Nacional, n.º 4715, Fracção BQ",4580-439 LORDELO,224446036,224445236,,"ANA ISABEL NEVES, SUSANA TORRES COELHO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL"
Porto,40/99,PENAFIEL,27-07-1999,raulpintoferreira-46630p@adv.oa.pt,"Avª. Sacadura Cabral,  62 - 1º. AZ",4560-000 PENAFIEL,255213358,255213359,,"ANA MARIA FEIJÓ & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,32/07,PORTO,20-07-2007,,"R. do Almada, 152 - 1º   Sala  2",4000-001 PORTO,222055755,222004544,,"ANDRADE SILVA, RUI CORREIA DE SOUSA, HELENA ALMEIDA-SOCIEDADE DE ADVOGADOS RL"
Porto,11/08,PORTO,22-02-2008,geral@prs-porto.com,"R. Tenente Valadim, 215 - geral@trbs-porto.com",4100-479 PORTO,225432610,225432611,,"ANDREIA LIMA CARNEIRO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,38/21,PORTO,29-07-2021,angelinateixeira-53245P@adv.oa.pt,"Av da Boavista, n.º 2609, Atria Center Porto",4100-135 PORTO,221159921,,,"ANGELINA TEIXEIRA E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,13/06,PORTO,07-03-2006,paulocostacarvalho-8968p@adv.oa.pt,"Rua Caldas Xavier, 38 - 4º centro",4150-162 PORTO,222081159,222089673,,ÂNGELO DE CARVALHO E PAULO COSTA CARVALHO-SOCIEDADE DE ADVOGADOS RL
Porto,13/11,PENAFIEL,15-02-2011,angelocarneiro-4806p@adv.oa.pt,"R. da Saudade, 102 / Edfº. Centrolex - 3º.",4560-531 PENAFIEL,255711654,255711664,,ÂNGELO M. CARNEIRO-PAULO MOREIRA FERNANDES & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,62/13,SÃO MAMEDE DE INFESTA,10-12-2013,geral@anibalpintoeassociados.pt,"Quinta do Eirado, Rua Santos Dias, 472",4465-251 SÃO MAMEDE DE INFESTA,220963492,220963492,,"ANÍBAL PINTO & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,6/03,PORTO,20-01-2003,advogadosdesedofeita565@netc.pt,"Av. da Boavista, n.º 3265 - 1º, sala 1.8, Edf Oceanus",4100-137 PORTO,223324293,223324284,,"ANJOS, MARTINS & ASSOCIADOS - SOCIEDADE DE ADVOGADOS SP, RL"
Porto,29/06,GUIMARÃES,17-04-2006,secretaria@ab-cs.pt,"Largo Navarros de Andrade, n.º 1 - 3º esq.",4800-160 GUIMARÃES,253410484,253511136,,"ANTAS DE BARROS, CASTRO E SILVA E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,30/22,BARCELOS,26-07-2022,acceassociados.adv.sp@gmail.com,"Rua Cónego Joaquim Gaiolas, N.º 99",4750-306 BARCELOS,253817952,253817952,,"António da Cunha Correia & Associados, Sociedade de Advogados, SP, RL"
Porto,49/90,PORTO,14-12-1990,ajalmeidajmleiteadvogados@clix.pt,"Rua Calouste Gulbenkian, 52, 2º andar, escitório 6",4050-144 PORTO,222053787,222082945,,ANTÓNIO JORGE ALMEIDA E JOSÉ MANUEL LEITE-SOCIEDADE DE ADVOGADOS
Porto,70/06,PORTO,18-10-2006,asq@asqassociados.pt,"R. da Saudade, 59 - 5º.",4050-570 PORTO,226065908,226001997,,"ANTÓNIO SANTOS QUINTAS & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,36/15,PORTO,15-07-2015,soc.@oa.p,"Rua Júlio Dinis, 947 - 5º esq.",4050-327 PORTO,226004367,226093883,,"ANTÓNIO SECCA OLIVEIRA, MAFALDA MAÇORANO, ALEXANDRA BRAGA - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,17/13,PORTO,22-02-2013,antoniovigario@vcassociados.pt,Rua Dominguez Alvarez. 44 - 3.8 ,4150-801 PORTO,226150143,226150153,,"ANTÓNIO VIGÁRIO, JOÃO PAULO PIMENTA & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,28/97,PORTO,23-05-1997,geral@asf.net4b.pt,"Av. da Boavista, 1131 - 2º. esqº.",4100-129 PORTO,223389024,222026675,,ARAGÃO SEIA & FRANCO-SOCIEDADE DE ADVOGADOS RL
Porto,63/02,PORTO,05-08-2002,aaadv-1990p@adv.oa.pt,"Rua de Vilar, n.º235, 4º direito, salas 4.1 e 4.2",4050-626 PORTO,226106609,226106284,,"ARAÚJO E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,2/11,CHAVES,13-01-2011,david.areias-47514P@adv.oa.pt,"R. Direita, 188 - 1º.",5400-220 CHAVES,276332339,276318851,,AREIAS & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,83/09,VILA NOVA DE FAMALICÃO,13-10-2009,paulo.cunha-6291p@adv.oa.pt,"Av. Dr. Carlos Bacelar  Edfº.  SAZA,  968 - 3º.  - Piso  Sala  31  B",4760-103 VILA NOVA DE FAMALICÃO,252321334,252321336,,"ARLINDO BARROS E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,15/03,PORTO,24-02-2003,advogadosdoporto@hotmail.com,"Praça Dª. Filipa de Lencastre, 22 - 1º.  Salas   - 13  a  15",4050-259 PORTO,223390139,223390118,,"AUGUSTO MOURA NUNES, JOÃO ROSSA, TRINDADE MARTINS, JOSÉ JORGE E ASSOCIADOS-SOCIEDADE DE ADVOGADOS RI"
Porto,61/07,PORTO,17-12-2007,,"Av da Boavista, 3195",4100-137 PORTO,226191110,226191119,,"AURÉLIO MARCOS, BARROSO PEREIRA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,42/01,MATOSINHOS,24-09-2001,rocharibeiro@netc.pt,"Av. D. Afonso Henriques, 1252 - 1º.  A",4450-011 MATOSINHOS,229377500,229376762,,"AVELINO ROCHA RIBEIRO, JOSÉ AUGUSTO FERREIRA ALVES & JOANA ROCHA RIBEIRO - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,21/23,PORTO,21-07-2023,liliana.o.pereira-54784P@adv.oa.pt,"Avenida da Boavista, n.º 3523 – 5º andar, sala 506",4100-139 PORTO,,,,"AVIZ MLS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,16/02,PORTO,01-02-2002,humbsap@mail.telepac.pt,"Rua de Sá da Bandeira, nº 819, 1º esq.",4000-438 PORTO,222000358,222002630,,"AYRES PEREIRA, MOUTINHO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP RL"
Porto,41/89,PORTO,30-12-1989,infoporto@interlegalace.eu,"R. Rainha D. Estefânia, 246 - 6º.  Salas  19/20",4150-303 PORTO,226099438,226001828,,"AZENHA, FERRAZ, SOARES & ASSOCIADOS - ADVOGADOS SP, RL"
Porto,14/00,PAÇOS DE BRANDÃO,24-02-2000,miguel.azevedo.brandao-6538p@advogados.oa.pt,Rua de Rio Maior n.º 591,4535-301 PAÇOS DE BRANDÃO,227321898,227310551,,"AZEVEDO BRANDÃO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL"
Porto,5/83,PORTO,14-04-1983,azevedocarvalho-2222p@adv.oa.pt,"R. da Alegria, 1892  Praceta Privada, 13  Escº.  3",4200-024 PORTO,226166580,226166589,,"AZEVEDO CARVALHO E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RI"
Porto,6/10,PORTO,18-01-2010,azevedomendes.adv@sapo.pt,"R. Duque da Terceira, 425 - 1º. drtº.",4000-537 PORTO,225102254,225102256,,AZEVEDO MENDES E ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,32/22,PORTO,11-08-2022,geral@azevedosoaresadvogados.com,"Avenida da Boavista, n.º 3521 - Sala 104",4100-139 PORTO,221177793,,,"Azevedo Soares Advogados, SP, RL"
Porto,42/03,MAIA,23-06-2003,amn-soc.advogados@mail.telepac.pt,"R. Dr. Carlos Felgueiras, 218 - 5º.  Sala 8",4470-157 MAIA,229407563,229407565,,"AZEVEDO, MARQUES & NOVERSA-SOCIEDADE DE ADVOGADOS RI"
Porto,39/95,PORTO,16-10-1995,brlc@brlc.pt,"Rua Pedro Homem de Melo,  55 - 6º andar sala 605",4150-599 PORTO,226168031,226168032,,"BANDEIRA, REIS LIMA & BRÁS DA CUNHA-SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,65/08,VILA NOVA DE GAIA,03-10-2008,bolota.belchior-2674P@advogados.oa.pt,"Av. da República, 911 - 2º.   Salas  21  a  28",4430-201 VILA NOVA DE GAIA,223758235,223710519,,"BELCHIOR & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, RL"
Porto,19/11,PORTO,16-03-2011,vnfilipe@gmail.com,"Av. Fernão de Magalhães, 1213 - 1º.",4350-169 PORTO,225188880,225188882,,BENTO & NETO FILIPE-SOCIEDADE DE ADVOGADOS RL
Porto,24/08,PORTO,27-03-2008,bga@bga.pt,"Rua Eugênio de Castro, 248 - 1º, sala 135",4100-225 PORTO,222013126,222013128,,"BERNARDES, GONÇALVES & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL"
Porto,30/21,PORTO,11-06-2021,geral@bacblg.pt,"Edifício Porto Magnum, Rua Dominguez Alvarez , N.º 44, escritório 3.07",4150-801 PORTO,222061290,,,"BERNARDO ANDRADE E CASTRO, BRUNO LOUREIRO GONÇALVES - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,20/22,PORTO,13-05-2022,info@baz.pt,"Rua Eugénio de Castro, n.º 280, 1º andar, sala 129",4100-225 PORTO,256868118,,,"BERNARDO AZEVEDO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, S.P. RL"
Porto,4/19,MATOSINHOS,15-01-2019,eduardamartinspereira-51074p@adv.oa.pt,"Rua Alfredo Cunha, n.º 378, Galeria, Sala 3",4450-021 MATOSINHOS,220932425,220932360,,"BLMP, SOCIEDADE DE ADVOGADOS SP, RL"
Porto,17/07,PORTO,02-05-2007,geral@bmc-advogados.com,"R. de Gondarém, 680",4150-373 PORTO,225323750,226185811,,"BMC - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,38/19,VILA NOVA DE GAIA,02-09-2019,geral@porto-law.com,"Rua de Angola, 116 A, 2º andar, Sala  22",4430-014 VILA NOVA DE GAIA,223228121,221117559,,"BMFS ADVOGADOS, SP, RL"
Porto,15/04,BRAGA,14-04-2004,filipemiranda70@gmail.com,"Av. Central, 85 - 3º. esqº. ",4710-228 BRAGA,253206210,253206219,,"BORGES, MIRANDA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,32/08,PORTO,12-05-2008,brochadocoelho.soc.adv@mail.telepac.pt,"Rua de Vilar, n.º 199 - 2º e 3º andar",4050-626 PORTO,226090816,226090804,,"BROCHADO COELHO E ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,19/21,GONDOMAR,26-04-2021,brunomribeiro-49040P@adv.oa.pt,"Rua de Monte Castro, n.º 48 - 1º, esc. 19",4420-210 GONDOMAR,220924252,,,"BRUNO MACEDO RIBEIRO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,51/04,FELGUEIRAS,28-09-2004,brunopinheiro-3086p@adv.oa.pt,"Edifício Eldorado A - 1º.  R. Rebelo de  - Carvalho, 626 ",4610-212 FELGUEIRAS,255924453,255922381,,"BRUNO PINHEIRO & ASSOCIADOS -SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,23/21,BRAGA,17-05-2021,geral@ca-sadvogados.pt,Rua Dr. Francisco Duarte n.º 285 - 1º sala 2,4715-017 BRAGA,253718838,,,"CA - ADVOGADOS, SP, RL"
Porto,21/21,PORTO,03-05-2021,cabecaisdecarvalho.soc.adv@gmail.com,"Rua de Santos Pousada, 441, DE",4000-486 PORTO,225191703,225191701,,"CABEÇAIS DE CARVALHO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,64/99,PORTO,13-12-1999,geral@gmscc.pt,"R. 5 de Outubro, 446 - 466",4100-173 PORTO,226076020,226076029,,"CALDEIRA, CERNADAS, SOUSA MAGALHÃES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,80/06,BRAGANÇA,27-12-2006,rodrigoversos-3684c@adv.oa.pt,"R. Alexandre Herculano, 128 - 1º.",5300-075 BRAGANÇA,273332443,273333432,,"CALDEIREIRO, VERSOS & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL"
Porto,30/09,SÃO JOÃO DA MADEIRA,24-03-2009,geral@cs-associados.pt ,"Av. Dr. Renato Araújo, 508  1º. Piso  Fracção  P/Q ",3700-244 SÃO JOÃO DA MADEIRA,256 832 588,256 838812 ,,"CAMPELO DE SOUSA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,68/06,PORTO,01-09-2006,rcs@cssa.pt,"Rua de Guerra Junqueiro, 79",4150-388 PORTO,226079390,226079399,,"CAMPILHO, SILVEIRA - SOCIEDADE DE ADVOGADOS SP, RL"
Porto,45/02,SANTA MARIA DA FEIRA,24-05-2002,copm_advogados@sapo.pt,"Av. 25 de Abril, 19  F - 3º.  ad/ae",4520-161 SANTA MARIA DA FEIRA,256374347,256374834,,"CAMPOS DE OLIVEIRA, PEDROSA DE MOURA-SOCIEDADE DE ADVOGADOS RL"
Porto,56/02,VILA NOVA DE GAIA,22-07-2002,soc.@oa.pt,"Praceta  25  de Abril, 90 - 1º. Drtº.",4430-257 VILA NOVA DE GAIA,223798764,223753783,,"CAMPOS LENCASTRE E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,59/09,PORTO,09-07-2009,leopoldocarvalhaes-3998p@adv.oa.pt,"Edfº. Capitólio / Av. de França, 352 - 1º.    - Sala 1.11",4050-276 PORTO,228348630,228348633,,"CAMPOS PEREIRA, PEDRO ALHINHO, LEOPOLDO CARVALHAES, CÂNDIDA MESQUITA & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL"
Porto,29/12,MATOSINHOS,09-07-2012,cdantas-5445c@adv.oa.pt,"Rua Alfredo Cunha, 342, Sala 7",4450-021 MATOSINHOS,229382066,229382066,,"CARLA GUIMARÃES - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,16/90,PORTO,19-03-1990,paulacardoso-3339p@adv.oa.pt,"Avª. da Boavista, 197 - 5º. D",4050-115 PORTO,226001213,226000081,,"CARLOS CAL BRANDÃO, PAULA CARDOSO-SOCIEDADE DE ADVOGADOS RI"
Porto,58/08,SENHORA DA HORA,23-09-2008,geral@clmassoc.com,"Estrada Exterior da Circunvalação, 13432",4460-286 SENHORA DA HORA,222061250,222061259,,"CARLOS LIMA, MONTEIRO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,35/04,OVAR,23-07-2004,vitoramaral@cfv.com.pt,"R. Antero de Quental, 36 - 1º.",3880-148 OVAR,256581420,256581421,,"CARLOS MENDONÇA, FRANCISCO SOUSA LUÍS E VÍTOR AMARAL-SOCIEDADE DE ADVOGADOS RL"
Porto,25/98,FÂNZERES,02-06-1998,carlossantoscastro-3134p@adv.oa.pt,"Rua de S. Tiago, 205  r/c",4510-670 FÂNZERES,224839743,224649983,,"CARLOS SANTOS CASTRO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,10/06,PORTO,24-02-2006,heitorcarmo-3988P@adv.oa.pt,"R. Mártires da Liberdade, 192 - 3º.  Sala 32",4050-359 PORTO,222087423,222087424,,CARMO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL
Porto,24/20,SANTA MARIA DA FEIRA,21-09-2020,geral@mcradvogados.pt,"Av Clube Desportivo Feirense, n.º 18 - 5º",4520-161 SANTA MARIA DA FEIRA,256337000,256337009,,"CASTRO E MELO & MIRANDA - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,37/15,PORTO,15-07-2015,soc.@oa.pt,"Largo Alexandre Sá Pinto, 44 - B1",4050-027 PORTO,226093535,226090390,,"CASTRO MENESES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL"
Porto,34/12,PORTO,27-07-2012,geral@cavaleiroadvogados.pt,"Rua Pedro Homem de Mello, 55 - 5º Sl. 5.07",4150-599 PORTO,220945361,220933794,,"CAVALEIRO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL"
Porto,49/11,BRAGA,12-09-2011,geral@cerqueiraalves.pt,"Rua de São Marcos, nº 101 - 1º andar",4700-328 BRAGA,253201570,253201579,,"CERQUEIRA ALVES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,27/99,PORTO,05-05-1999,micg@cerqueiragomes.pt,"Rua de Ceuta, 53 - 6º.",4050-191 PORTO,222074010,222074011,,CERQUEIRA GOMES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS RL
Porto,16/97,GUIMARÃES,26-03-1997,octaviosantos@crs-advogados.pt,"Avª. Combatentes de Grande Guerra,  182",4810-260 GUIMARÃES,253518585,253518618,,"CÉSAR MACHADO, PEDRO VILHENA ROQUE, OCTÁVIO SANTOS - SOCIEDADE DE ADVOGADOS"
Porto,23/02,FAFE,08-03-2002,geral@ccmadvogados.com,"R. Montenegro, 105",4820-280 FAFE,253493517,253495038,,"CLEMENTINO CUNHA E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
